地区,平均气温(℃),降水量(mm),平均海平面气压(hPa),平均风速(knots),平均能见度(km),最低气温极值(℃),最高气温极值(℃),最大单日降水量(mm),最大瞬时风速极值(knots),最大能见度(km),最小能见度(km)
Alaska,-4.473999999999999,0.0,1012.298,10.975999999999999,nan,-34.732000000000006,20.244,0.0,54.0,nan,nan
Amazon,28.0195,99.061,1011.3194444444445,2.870526315789474,4.653529411764706,22.173000000000002,33.802499999999995,19.7485,nan,6.569411764705882,3.6341176470588237
Antarctica,-45.620416666666664,0.02125,nan,8.212173913043477,nan,-69.90583333333332,-14.785833333333334,0.02125,nan,nan,nan
Beijing,12.202833333333333,599.7316666666667,1017.8501886792452,4.988833333333334,13.301833333333333,-14.908333333333333,37.47133333333333,83.25299999999999,47.75238095238095,30.93433333333333,1.191
California,13.24,0.0,1016.29,9.54,12.21,6.28,24.61,0.0,nan,23.66,0.64
Chiba,15.598823529411765,0.0,1011.1949999999999,7.806470588235294,23.50235294117647,-4.657058823529412,32.82411764705882,0.0,nan,58.12529411764706,2.1476470588235292
Congo,28.0195,99.061,1011.3194444444445,2.870526315789474,4.653529411764706,22.173000000000002,33.802499999999995,19.7485,nan,6.569411764705882,3.6341176470588237
Greenland,-1.3307894736842105,0.23394736842105265,1007.0600000000002,12.4,nan,-20.697368421052634,15.086315789473687,0.10026315789473685,56.120000000000005,nan,nan
Hainan,22.779117647058825,1148.6035294117646,1012.1257575757576,2.6791176470588236,20.593529411764706,5.1979411764705885,35.60294117647059,138.20588235294122,50.14,31.088235294117652,6.6832352941176465
Istanbul,14.769999999999998,357.0019047619048,1015.7566666666664,6.7319047619047625,18.1895,-1.3542857142857143,31.328095238095244,33.394285714285715,33.62,24.906999999999996,4.6105
Kalimantan,27.193571428571424,834.3361904761905,1009.6423684210525,2.457142857142857,8.522619047619047,18.165238095238095,35.50404761904762,71.54380952380951,nan,12.947857142857142,3.71595238095238
Moscow,3.825625,10.193125,nan,7.593125,7.963125,-28.4375,28.8125,9.6375,38.35,11.259374999999999,1.3587500000000001
Paris,10.694615384615387,0.0,nan,6.663076923076923,8.926923076923078,-8.538461538461538,34.92307692307692,0.0,48.276923076923076,10.575384615384618,0.9907692307692311
Western Sahara,18.33,0.0,nan,9.0,8.53,18.0,19.0,0.0,21.0,8.53,8.53
